S.No,Book Title,Author,Translation Author,ISBN,Book Code,"Digital 
Copyrights","Digitized 
(PDF Unicode Text)",eBook (EPUB),"Amazon Kindle 
Link","Google Playbooks 
Link","References 
Link",Audio Books,"Google Link for 
Audio Books"
1,Life of Ramakrishna (Nikhilananda) … [HB],Swami Nikhilananda,,9788175050617,ARED01,Yes,Yes,Yes,,,,No,
2,Life of Ramakrishna (by R.Rolland) … [HB],Romain Rolland,,9788185301440,ARED03,,,,,,,,
3,Ramakrishna and His Disciples … … [HB],Christopher Isherwood,,9788185301181,ARE005,,,,,,,,
4,Ramakrishna: A Biography in Pictures [HB],Swami Smaranananda & Chetanananda,,9788175051317,ARE006,,,,,,,,
5,Ramakrishna: Life and Sayings (Max Muller),Max Muller,,9788175050600,ARE007,,,,,,,,
6,Ramakrishna and His Unique Message,Swami Ghanananda,,9788175050716,ARE008,,,,,,,,
7,Short Life of Ramakrishna,Swami Tejasananda,,9788175050723,ARE009,,,,,,,,
8,My Master,Swami Vivekananda,,9788175050563,ARE010,,,,,,,,
9,Teachings of Ramakrishna,Ramakrishna,,9788185301198,ARE011,,,,,,,,
10,Ramakrishna: Great Prophet of Harmony [HB],Compilation,,9788175052079,ARE013,,,,,,,,
11,Ramakrishna and His Message,Swami Vivekananda,,9788175050747,ARE014,,,,,,,,
12,Ramakrishna as We Saw Him … … … [HB],Swami Chetanananda,,9788185301037,ARE018,,,,,,,,
13,How to Live with God … … … [HB],Swami Chetanananda,,9788175052994,ARE026,,,,,,,,
14,More About Ramakrishna,Swami Prabhananda,,9788175050778,ARE019,,,,,,,,
15,"Ramakrishna & His Gospel, Vol.1 … [HB]",Swami Bhuteshananda,,9788175052123,ARE020,,,,,,,,
16,"Ramakrishna & His Gospel, Vol.2 …[HB]",Swami Bhuteshananda,,9788175052888,ARE021,,,,,,,,
17,"Ramakrishna & His Gospel, Vol.3 …[HB]",Swami Bhuteshananda,,9788175054431,ARE034,,,,,,,,
18,RAMAKRISHNA AND HIS GOSPEL [SET],Swami Bhuteshananda,,,ARE022,,,,,,,,
19,Sri Ramakrishna: God of All,Swami Atmasthananda,,9788175052321,ARE023,,,,,,,,
20,The World Sri Ramakrishna Knew,Dr. Jaladhikumar Sarkar,,9788175052307,ARE025,,,,,,,,
21,Kamarpukur and Jayrambati,Swami Tejasananda,,9788175053595,ARE016,,,,,,,,
22,Western Admirers of RK & His Disciples,Gopal Stavig,,9788175053342,ARE027,,,,,,,,
23,Approaching Ramakrishna,Compilation,,9788175053489,ARE028,,,,,,,,
24,Companions & Followers of Ramakrishna,Compilation,,9788175053601,ARE029,,,,,,,,
25,The Light Of Modern World,Swami Bhajanananda,,9788175053694,ARE030,,,,,,,,
26,The Life Story of Sri Ramakrishna,Ramchandra Datta,,9788175054226,ARE031,,,,,,,,
27,Sri Ramakrishna on Himself,Compilation,,9788175054219,ARE032,,,,,,,,
28,RAMAKRISHNA LIFE AND MESSAGE,Swami Vijnanananda,,9788175054288,ARE033,,,,,,,,
29,UNIQUENESS OF RAMAKRISHNA INCARNATION,Swami Bhuteshananda,,9788175054745,ARE035,,,,,,,,
30,Short Life of Holy Mother,Swami Pavitrananda,,9788175050310,AHE001,,,,,,,,
31,Sri Sarada Devi: A Biography in Pictures[HB],Swami Smaranananda & Gitananda,,9788175050785,AHE004,,,,,,,,
32,Sarada Devi: The Great Wonder … … [HB],Compilation,,9788185301570,AHE005,,,,,,,,
33,In the Company of the Holy Mother,Compilation,,9788175050792,AHE006,,,,,,,,
34,Sri Sarada Devi: The Mother of All,Swami Atmasthananda,,9788175052291,AHE007,,,,,,,,
35,The Compassionate Mother,Swami Tanmayananda,,9788175053281,AHE009,,,,,,,,
36,Reminiscences of Sarada Devi [HB],Swami Purnatmananda,,9788175052635,AHE010,,,,,,,,
37,Great Women of India … … … … … [HB],Swami Madhavananda,,9788185301303,AHE002,,,,,,,,
38,Vedanta and Holy Mother,Swami Swahananda,,9788175053663,AHE011,,,,,,,,
39,MY BLESSED DAYS WITH HOLY MOTHER,Swami Ishanananda,,9788175054721,AHE012,,,,,,,,
40,LIFE OF VIVEKANANDA BY E&W [SET] [D],Eastern & Western Disciples,,9788175050426,AVED01,,,,,,,,
41,Life of Sw. Vivekananda Vol.1   by his Eastern & Western Disciples,Eastern & Western Disciples,,9788175050433,AVED02,,,,,,,,
42,Life of Sw. Vivekananda Vol. 2 by his Eastern & Western Disciples,Eastern & Western Disciples,,9788175050440,AVED03,,,,,,,,
